Opportunity ID,SAP Code,Account Region,Closed Lost Reason,Closed Lost Reason Comments,IDN Status
0067F00000MXuP8,,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
0067F00000Mhi89,1004689,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
0067F000011t5mz,1004869,United States,Other (Add detail to Other Closed Lost Reason),,Active
0067F000011tdOv,1004798,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
0067F000011txYS,,United States,,,Active
0067F000011u1fe,1003379,Australia,Competition,,Active
0067F000011uqV6,1004526,United States,,,Active
0067F000011vWxR,,New Zealand,Lack of Budget,,Not a Member
0067F000011vcNg,1004694,United States,,,Active
0067F000011vcSv,,New Zealand,Change of Circumstances,,Not a Member
0067F000011vmgz,1000746,Canada,,,Active
006A90000026AJ7,1002210,Asia Pacific,Cheaper solution,,Not a Member
006A90000026Y55,1000845,New Zealand,Change of Circumstances,,Active
006A90000026Y5P,1000450,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A900000284rO,1003675,Asia Pacific,Cheaper solution,,Active
006A90000029fuP,1003675,Asia Pacific,,,Active
006A9000002AYi7,1002151,New Zealand,No Decision,,Not a Member
006A9000002AhcT,1003675,Asia Pacific,Cheaper solution,,Active
006A9000002BYVj,1003878,Canada,No Decision,,Not a Member
006A9000002Benx,1003878,Canada,No Decision,,Not a Member
006A9000002C7Tn,1003878,Canada,No Decision,,Not a Member
006A9000002CBuW,1000938,Asia Pacific,,,Not a Member
006A9000002CBzs,1000938,Asia Pacific,Unresponsive Contacts,,Not a Member
006A9000002CaLs,1003675,Asia Pacific,,,Active
006A9000002DgKr,1000667,Asia Pacific,Pricing,,Active
006A9000002DkvP,1005452,United States,,,Pending
006A9000002G94j,1000656,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002INxK,1000938,Asia Pacific,Unresponsive Contacts,,Not a Member
006A9000002INxj,1000938,Asia Pacific,Unresponsive Contacts,,Not a Member
006A9000002INyc,1000938,Asia Pacific,Unresponsive Contacts,,Not a Member
006A9000002J3N2,1000831,New Zealand,,,Active
006A9000002JZrK,1002467,Asia Pacific,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002Jo6O,1000938,Asia Pacific,,,Not a Member
006A9000002Njhy,1003878,Canada,No Decision,,Not a Member
006A9000002PVFD,1005167,United States,,,Active
006A9000002Qplg,1003049,Australia,,,Active
006A9000002QqOb,1003049,Australia,,,Active
006A9000002ROuy,1003675,Asia Pacific,,,Active
006A9000002WMjn,1000938,Asia Pacific,,,Not a Member
006A9000002X2St,1000667,Asia Pacific,Pricing,,Active
006A9000002XvCM,1003878,Canada,No Decision,,Not a Member
006A9000002YZPC,1003878,Canada,No Decision,,Not a Member
006A9000002aZWn,1004770,United States,,,Pending
006A9000002aZaa,1004799,United States,,,Active
006A9000002asJK,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002bGqJ,1007811,Asia Pacific,,,Not a Member
006A9000002duO6,1003675,Asia Pacific,Pricing,,Active
006A9000002jbQF,1002967,Australia,Competition,,Active
006A9000002jy2I,1007771,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000002khxT,1003983,Canada,Competition,,Not a Member
006A9000002lJDp,1003527,Australia,,,Active
006A9000002nCYK,1001919,Asia Pacific,,,Active
006A9000002npmP,1002795,Australia,,,Active
006A9000002oFMo,1006246,Canada,Unresponsive Contacts,,Active
006A9000002omXn,1000477,New Zealand,No Decision,,Active
006A9000002pFwO,1003675,Asia Pacific,Competition,,Active
006A9000002qe3m,,Canada,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000002rKuD,1003952,Canada,,,Active
006A9000002rlbL,1003675,Asia Pacific,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002tFFH,1002695,Australia,,,Active
006A9000002tFXj,1000447,Asia Pacific,Pricing,,Active
006A9000002toUR,1006246,Canada,,,Active
006A9000002trOB,1004887,United States,,,Active
006A9000002uAI5,1006250,United States,,,Active
006A9000002ub1j,1003113,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002uj3y,1005067,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002ukS9,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002ukUV,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002vhgR,1000834,New Zealand,Unresponsive Contacts,,Not a Member
006A9000002wgPI,1004938,United States,Lack of Budget,,Not a Member
006A9000002xKbs,1002191,New Zealand,Unresponsive Contacts,,Not a Member
006A9000002xKdK,1002191,New Zealand,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000002xKeD,1001006,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002xKwH,1000736,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002xKx0,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000002yFlv,1004782,United States,,,Active
006A9000002yFnd,1005690,United States,Competition,,Active
006A9000002yFoL,1005690,United States,Competition,,Active
006A9000002yFok,1005690,United States,Competition,,Active
006A9000002yFoq,1005690,United States,Competition,,Active
006A9000002yFpY,1005690,United States,Competition,,Active
006A9000002yFps,1005690,United States,Competition,,Active
006A9000002yFq2,1005690,United States,Competition,,Active
006A9000002yKSf,1002695,Australia,No Decision,,Active
006A9000002ymfN,1006453,Canada,Unresponsive Contacts,,Not a Member
006A9000002yoBq,1005891,Canada,,,Active
006A9000002yoDI,1005891,Canada,,,Active
006A9000002ypnp,1001919,Asia Pacific,Competition,,Active
006A9000002ypuQ,1001919,Asia Pacific,Cheaper solution,,Active
006A9000002ypvx,1001919,Asia Pacific,Competition,,Active
006A9000002zRFy,1000952,Canada,,,Active
006A9000002zntF,,Canada,Unresponsive Contacts,,Not a Member
006A900000307DA,1003049,Australia,,,Active
006A90000030PlX,,Canada,Other (Add detail to Other Closed Lost Reason),No follow up by the client,Not a Member
006A900000317YK,1003280,Australia,Unresponsive Contacts,,Not a Member
006A900000319lI,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A90000031Jh9,1003885,Canada,,,Active
006A90000031N3b,1000938,Asia Pacific,,,Not a Member
006A90000031N4j,1000938,Asia Pacific,No Decision,,Not a Member
006A90000031YF1,1005167,United States,,,Active
006A90000031r0M,1004309,Canada,Unresponsive Contacts,,Active
006A90000031vNK,1003441,Australia,No Decision,,Not a Member
006A900000327U0,1007513,Canada,,,Not a Member
006A900000329BD,1006246,Canada,Unresponsive Contacts,,Active
006A90000032CtG,1008431,Australia,Lack of internal consensus,,Not a Member
006A90000032M8C,1003878,Canada,No Decision,,Not a Member
006A90000032ks4,1003088,Australia,,,Active
006A90000032pxs,1003209,EMEA,No Decision,,Active
006A90000032xa0,1000477,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000032xay,1000477,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033Jal,1000475,New Zealand,,,Active
006A90000033Jg0,1000475,New Zealand,,,Active
006A90000033Jj4,1000475,New Zealand,,,Active
006A90000033JkZ,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033Jlg,1000475,New Zealand,,,Active
006A90000033Jlq,1000475,New Zealand,,,Active
006A90000033Jlv,1000475,New Zealand,,,Active
006A90000033Jm0,1000475,New Zealand,,,Active
006A90000033JmK,1000475,New Zealand,,,Active
006A90000033JmP,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033JmU,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033Jme,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033Jmy,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033Jn3,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033JnD,1000475,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A90000033aYU,1003527,Australia,No Decision,,Active
006A90000033cvm,1005532,United States,,,Active
006A90000033cwf,1005532,United States,,,Active
006A90000033cx9,1005532,United States,,,Active
006A90000033pHq,1006246,Canada,Competition,,Active
006A90000033qib,,Australia,Pricing,,Not a Member
006A900000340qa,1004694,United States,,,Active
006A90000035DuK,1003209,EMEA,,,Active
006A900000365t8,,United States,,,Pending
006A90000036RO3,1004231,EMEA,No Decision,,Not a Member
006A90000037Y1W,,Canada,,,Not a Member
006A90000037Y3j,,Canada,,,Not a Member
006A90000037YXc,,Canada,,,Not a Member
006A90000037YfF,,Canada,,,Not a Member
006A900000382Uf,1005720,Canada,Lack of Budget,,Active
006A90000038mSY,1000736,New Zealand,Unresponsive Contacts,,Active
006A90000038od1,1002860,Australia,Cheaper solution,,Not a Member
006A90000038z4C,,United States,,,Not a Member
006A90000039j0Z,1000952,Canada,Competition,,Active
006A90000039j1v,1000952,Canada,Competition,,Active
006A90000039j3m,1000952,Canada,Competition,,Active
006A9000003AMpd,1000956,Asia Pacific,,,Not a Member
006A9000003AMsD,1000956,Asia Pacific,Competition,,Not a Member
006A9000003AMwx,1000956,Asia Pacific,Competition,,Not a Member
006A9000003B4JA,1002339,New Zealand,Competition,,Active
006A9000003BtCo,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003C0hc,1003952,Canada,,,Active
006A9000003CTyb,1003878,Canada,No Decision,,Not a Member
006A9000003CseN,,United States,,,Not a Member
006A9000003Devj,1006056,United States,Unresponsive Contacts,,Not a Member
006A9000003Dfrn,1005293,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003EQu1,,Canada,,,Not a Member
006A9000003ET4h,1003952,Canada,,,Active
006A9000003FD0b,1005539,United States,No Decision,,Active
006A9000003G1mm,1006246,Canada,,,Active
006A9000003G1r2,1006246,Canada,,,Active
006A9000003G2cU,1006246,Canada,,,Active
006A9000003Givk,1003983,Canada,No Decision,,Not a Member
006A9000003HDQo,1006246,Canada,,,Active
006A9000003HIIN,1003347,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003HR9T,1000534,Asia Pacific,Pricing,,Not a Member
006A9000003HV7t,1003088,Australia,No Decision,,Active
006A9000003HryJ,1002876,Australia,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003I8gE,1005532,United States,,,Active
006A9000003IJ9j,1003878,Canada,No Decision,,Not a Member
006A9000003IJPR,1003878,Canada,No Decision,,Not a Member
006A9000003IT5r,1004547,United States,Competition,,Not a Member
006A9000003IZ1B,1001004,Asia Pacific,No Decision,,Active
006A9000003IZEE,1001004,Asia Pacific,Pricing,,Active
006A9000003Ic1t,1004039,Canada,Pricing,,Active
006A9000003IcV2,1003878,Canada,No Decision,,Not a Member
006A9000003IzfY,1003865,Canada,,,Active
006A9000003Izy2,,Canada,Competition,,Not a Member
006A9000003Jbio,1004856,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003JgNu,,ICT,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003JkLc,1003288,Australia,Cheaper solution,,Active
006A9000003JyFj,1003347,Australia,No Decision,,Active
006A9000003JyRV,1003347,Australia,No Decision,,Active
006A9000003K0TX,1002210,Asia Pacific,Competition,,Not a Member
006A9000003KOJ0,,United States,,,Not a Member
006A9000003KOXU,,United States,,,Not a Member
006A9000003KQTW,1000451,New Zealand,,,Active
006A9000003KQhD,1000563,New Zealand,,,Active
006A9000003KRwV,1001919,Asia Pacific,,,Active
006A9000003KkO0,1003049,Australia,,,Active
006A9000003L1lj,1005801,United States,Competition,,Active
006A9000003LMLv,1000952,Canada,,,Active
006A9000003LO3y,1003886,Canada,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003LOYk,1000952,Canada,,,Active
006A9000003LPHO,1000952,Canada,,,Active
006A9000003LPxU,1003049,Australia,,,Active
006A9000003LQ5p,1000952,Canada,,,Active
006A9000003M409,1003049,Australia,,,Active
006A9000003M79E,1003444,Australia,No Decision,,Pending
006A9000003Mbk0,1004540,United States,Competition,,Not a Member
006A9000003MblL,1006303,United States,Change of Circumstances,,Active
006A9000003Mbnj,1005299,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003MlFh,1003209,EMEA,,,Active
006A9000003MmzQ,1002171,New Zealand,Competition,,Active
006A9000003N64u,1006080,Asia Pacific,Lack of Budget,,Not a Member
006A9000003N6SN,1006080,Asia Pacific,Pricing,,Not a Member
006A9000003N6c1,1006080,Asia Pacific,Pricing,,Not a Member
006A9000003NLWV,1000477,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003NTqp,1005563,United States,Unresponsive Contacts,,Not a Member
006A9000003NjqH,1003441,Australia,No Decision,,Not a Member
006A9000003NkIE,1003878,Canada,No Decision,,Not a Member
006A9000003NsCM,1006618,United States,Lack of Budget,,Not a Member
006A9000003NuBD,1003983,Canada,,,Not a Member
006A9000003NufA,1003175,Australia,No Decision,,Not a Member
006A9000003O2lx,1004309,Canada,Competition,,Active
006A9000003OmLX,1006080,Asia Pacific,Pricing,,Not a Member
006A9000003PAte,1004939,United States,Competition,,Not a Member
006A9000003PGn0,1000683,Asia Pacific,Pricing,,Active
006A9000003PoS3,1003997,Canada,,,Not a Member
006A9000003Poe2,1003997,Canada,,,Not a Member
