Closed_Lost_Reason,Total_Count,Pct_of_Total,Top_Vertical,Top_Region,Active_IDN,Not_Member_IDN,Pending_IDN
Other (Add detail to Other Closed Lost Reason),763,20.217276099629043,Commercial,United States,405,329,29
No Decision,708,18.75993640699523,Commercial,Australia,315,369,24
Competition,636,16.85214626391097,Commercial,Canada,300,324,12
Unresponsive Contacts,576,15.262321144674084,Commercial,Canada,256,306,14
Pricing,200,5.299417064122947,Commercial,Australia,100,98,2
Lack of Budget,191,5.060943296237414,Commercial,United States,82,100,9
Change of Circumstances,176,4.663487016428193,Commercial,United States,75,95,6
Missing Features (Add detail to Other Closed Lost Reason),23,0.6094329623741388,Commercial,Australia,8,15,0
Cheaper solution,18,0.47694753577106513,Commercial,Asia Pacific,10,7,1
Lack of internal consensus,8,0.21197668256491786,Education,Australia,2,4,2
Poor follow-up,4,0.10598834128245893,Commercial,New Zealand,2,2,0
Long sales cycle,3,0.0794912559618442,Training,Asia Pacific,1,2,0
