Opportunity ID,Opportunity Name,Account Name,Vertical,Enhanced_Vertical,Industry,Stage,Amount (converted),Won,Closed,Close Date,Account Region,Closed Lost Reason
0067F00000MXuP8,AVS,AVS DESIGN INC.,,Uncategorized,,Closed Lost,NZD 0.00,False,True,8/05/2025,United States,Other (Add detail to Other Closed Lost Reason)
0067F00000Mhi89,20 Classroom School,Property Protection Consulting LLC,Education,Education - K-12,Security Installer,Closed Lost,NZD 0.00,False,True,9/02/2025,United States,Other (Add detail to Other Closed Lost Reason)
0067F000011t5mz,Baldwin,"Upstate Communication and Security, Inc",,Uncategorized,Construction & Engineering,Closed Lost,NZD 0.00,False,True,14/08/2024,United States,Other (Add detail to Other Closed Lost Reason)
0067F000011tdOv,Palatine,Superior Communications Services,,Uncategorized,,Closed Lost,"NZD 4,561.43",False,True,9/06/2024,United States,Other (Add detail to Other Closed Lost Reason)
0067F000011txYS,Centier Bank,New Way Security (B&N),Banking & Finance,Banking & Finance,,Closed Lost,"NZD 77,114.66",False,True,25/12/2024,United States,
0067F000011u1fe,CiT Woden ACT Tender,GE Communications P/L,,Uncategorized,Construction & Engineering,Closed Lost,"NZD 92,686.42",False,True,15/06/2024,Australia,Competition
0067F000011uqV6,BT,Midwest Security Services - Kettering main - Columbus Branch,,Uncategorized,,Closed Won,"NZD 1,230.30",True,True,24/02/2024,United States,
0067F000011vWxR,Bayswater Maritime Precint,ICT NZ Opportunities,,Critical Infrastructure - Ports & Maritime,,Closed Lost,"NZD 58,298.80",False,True,25/03/2024,New Zealand,Lack of Budget
0067F000011vcNg,G PROX ll,"QSI, Inc. - Quality Service Installation",,Uncategorized,,Closed Won,"NZD 1,154.15",True,True,13/02/2024,United States,
0067F000011vcSv,Wanaka Film Park,ICT NZ Opportunities,Commercial,Entertainment - Theater & Arts,,Closed Lost,"NZD 49,999.99",False,True,24/03/2025,New Zealand,Change of Circumstances
0067F000011vmgz,University of Alberta GX Roll Out FY2023/2024,Inaxsys Security Systems Inc.,Education,Education - Higher Education,Communications Equipment,Closed Won,"NZD 218,238.33",True,True,31/12/2024,Canada,
006A90000026AJ7,One Central Project in HCMC Project,INNOVUS TECHNOLOGY SOLUTION JSC,,Uncategorized,Security Installer,Closed Lost,"NZD 224,333.61",False,True,9/01/2024,Asia Pacific,Cheaper solution
006A90000026Y55,The Crossing Stage 3,Nutech Security,Commercial,Commercial - General,Business Services,Closed Lost,"NZD 20,000.00",False,True,8/07/2025,New Zealand,Change of Circumstances
006A90000026Y5P,Rotorua Museum,Advanced Security Group - Waikato,,Entertainment - Museums & Cultural,Security,Closed Lost,"NZD 50,000.00",False,True,8/04/2024,New Zealand,Other (Add detail to Other Closed Lost Reason)
006A900000284rO,Tender for Construction of Heritage Conservation and Resource Center,Secureplus Limited,,Entertainment - Museums & Cultural,Supplier,Closed Lost,"NZD 50,276.84",False,True,13/02/2024,Asia Pacific,Cheaper solution
006A90000029fuP,Tender for Mai Po Nature Reserve Infrastructure Upgrade Project,Secureplus Limited,Government,Government,Supplier,Proposal,"NZD 8,004.52",False,False,13/10/2025,Asia Pacific,
006A9000002AYi7,Ramada Conference Centre Queenstown,Structured Technologies,Commercial,Hospitality - Hotels & Resorts,Security Installer,Closed Lost,"NZD 10,000.00",False,True,29/04/2024,New Zealand,No Decision
006A9000002AhcT,Tender for Shatin Water Treatment Works Project,Secureplus Limited,Critical Infrastructure,Banking & Finance,Supplier,Closed Lost,"NZD 44,654.15",False,True,23/01/2024,Asia Pacific,Cheaper solution
006A9000002BYVj,High Security Readers,Blue Mountain Technologies Inc.,,Uncategorized,,Closed Lost,NZD 832.16,False,True,31/01/2024,Canada,No Decision
006A9000002Benx,Elevator Add-On,Blue Mountain Technologies Inc.,,Uncategorized,,Closed Lost,"NZD 9,870.47",False,True,31/01/2024,Canada,No Decision
006A9000002C7Tn,Entry Station,Blue Mountain Technologies Inc.,,Uncategorized,,Closed Lost,"NZD 8,301.01",False,True,31/01/2024,Canada,No Decision
006A9000002CBuW,Politeknik/University Bali Phase-2,Securiko Indonesia,Education,Education - Higher Education,,Proposal,"NZD 6,451.61",False,False,8/12/2025,Asia Pacific,
006A9000002CBzs,Biorfarma Dawuan,Securiko Indonesia,Commercial,Commercial - General,,Closed Lost,"NZD 64,516.13",False,True,15/09/2025,Asia Pacific,Unresponsive Contacts
006A9000002CaLs,Tender for 14-18 Ma Kok Street Tsuen Wan Project,Secureplus Limited,Government,Government,Supplier,Proposal,"NZD 39,989.32",False,False,11/11/2025,Asia Pacific,
006A9000002DgKr,Project Tender - Hyatt Regency Ha long in Vietnam,Giang Viet Technology Company Ltd,Commercial,Hospitality - Hotels & Resorts,,Closed Lost,"NZD 86,390.03",False,True,12/02/2024,Asia Pacific,Pricing
006A9000002DkvP,The Rim at Talavera - San Antonio,"AlarmTechs, INC",,Uncategorized,Construction & Engineering,Closed Lost,"NZD 35,640.84",False,True,29/02/2024,United States,
006A9000002G94j,The Grey - 36 Apartments,Focus Surveillance & Electrical Ltd,Residential,Residential - Multi-Family,Security Installer,Closed Lost,"NZD 5,000.00",False,True,6/05/2024,New Zealand,Other (Add detail to Other Closed Lost Reason)
006A9000002INxK,"Tangki project, Banten Indonesia",Securiko Indonesia,Commercial,Commercial - General,,Closed Lost,,False,True,15/10/2025,Asia Pacific,Unresponsive Contacts
006A9000002INxj,"LNG Project, Sumbawa Indonesia",Securiko Indonesia,Critical Infrastructure,Critical Infrastructure - Utilities & Energy,,Closed Lost,,False,True,21/10/2025,Asia Pacific,Unresponsive Contacts
006A9000002INyc,"Akatara Project, Jambi (Azbil Berca Indonesia)",Securiko Indonesia,Commercial,Commercial - General,,Closed Lost,,False,True,11/08/2025,Asia Pacific,Unresponsive Contacts
006A9000002J3N2,126 Lambton Quay,Nedax Systems (NZ) Ltd,,Uncategorized,Electronics Security Systems,Closed Won,"NZD 61,051.83",True,True,12/01/2024,New Zealand,
006A9000002JZrK,Project tender for Roiet Prision Project in Thailand,Convergint (Thailand) Ltd.,,Uncategorized,,Closed Lost,"NZD 114,811.83",False,True,24/06/2024,Asia Pacific,Other (Add detail to Other Closed Lost Reason)
006A9000002Jo6O,Politeknik Medan Phase-3 & 4,Securiko Indonesia,,Education - Higher Education,,Working,,False,False,13/10/2025,Asia Pacific,
006A9000002Njhy,Residential Building - 164 Suites,Blue Mountain Technologies Inc.,Residential,Residential - Multi-Family,,Closed Lost,"NZD 59,390.63",False,True,31/01/2024,Canada,No Decision
006A9000002PVFD,Eastpointe Commons Assisted Living,HighPoint Electric,,Healthcare - Senior Living,Security Installer,Closed Lost,"NZD 20,462.20",False,True,25/09/2024,United States,
006A9000002Qplg,Goolum_Goolum GX Upgrade Project Wynns Tim Batchelor 7Jul2022,Wynns Locksmiths,,Uncategorized,Professional Services,Closed Lost,"NZD 45,422.62",False,True,30/06/2024,Australia,
006A9000002QqOb,Horsham Rural City Council GX - Wynns - Tim Batchelor - 7Jul2022,Wynns Locksmiths,Government,Government - General,Professional Services,Closed Lost,"NZD 15,864.12",False,True,22/08/2024,Australia,
006A9000002ROuy,Tender for Commercial Development at 20-28 Cannon Street (ELV),Secureplus Limited,Commercial,Commercial - Mixed Use Development,Supplier,Closed Lost,"NZD 28,396.21",False,True,13/02/2024,Asia Pacific,
006A9000002WMjn,Biofarma Gedung 34 (Phase 1),Securiko Indonesia,Heavy Industry,Industrial - Heavy Industry,,Closed Won,"NZD 26,755.01",True,True,9/12/2024,Asia Pacific,
006A9000002X2St,VietCapital Building Project (Design Stage),Giang Viet Technology Company Ltd,,Commercial - Construction Projects,,Closed Lost,,False,True,31/07/2024,Asia Pacific,Pricing
006A9000002XvCM,The Grand,Blue Mountain Technologies Inc.,,Uncategorized,,Closed Lost,"NZD 27,830.18",False,True,31/01/2024,Canada,No Decision
006A9000002YZPC,4-Button Remotes,Blue Mountain Technologies Inc.,,Uncategorized,,Closed Lost,"NZD 35,368.12",False,True,31/01/2024,Canada,No Decision
006A9000002aZWn,Encoder,Security Lock And Alarm,,Uncategorized,Security Installer,Closed Won,"NZD 1,701.88",True,True,24/02/2024,United States,
006A9000002aZaa,XS4 Glass Door,SVC Marketing (ICT Rep Firm),,Uncategorized,,Closed Lost,"NZD 3,328.84",False,True,14/08/2025,United States,
006A9000002asJK,CC1 22_08_22,Commrity Pty Ltd,,Uncategorized,,Closed Lost,"NZD 56,574.78",False,True,30/04/2024,Australia,Other (Add detail to Other Closed Lost Reason)
006A9000002bGqJ,AFx Migration for High Court Building in HK,Chubb (Hong Kong) Limited,Government,Government - Judicial,Electronic Security,Working,"NZD 11,290.32",False,False,10/12/2025,Asia Pacific,
006A9000002duO6,Preliminary Budget for Access Control Upgrade for Hongkong Air Cargo Terminal Ltd (HACTL),Secureplus Limited,,Critical Infrastructure - Aviation,Supplier,Closed Lost,"NZD 576,287.07",False,True,16/04/2024,Asia Pacific,Pricing
006A9000002jbQF,ST Vincents redevelopment Tender 15_09_22,STE Advantage,Healthcare,Healthcare - General,Construction & Engineering,Closed Lost,"NZD 262,761.94",False,True,10/02/2025,Australia,Competition
006A9000002jy2I,Nashville Church - Verex System,Modern Electrical Contracting inc.,Religious,Religious Facilities,Construction & Engineering,Closed Lost,"NZD 26,383.68",False,True,28/03/2024,United States,Other (Add detail to Other Closed Lost Reason)
006A9000002khxT,Sylvan Lake - Takeover Project,Ram Alarm and Access,Heavy Industry,Industrial - Heavy Industry,security/cameras/access control,Closed Lost,"NZD 19,565.87",False,True,1/12/2024,Canada,Competition
006A9000002lJDp,"Cross River Rail Fitout, 150 Mary Street",Australian Electronic Maintenance Services Pty Ltd (AEMS),,Uncategorized,Security Installer,Closed Won,"NZD 10,480.05",True,True,29/04/2024,Australia,
006A9000002nCYK,LATITUDE CORPORATE CENTER Access Control with KONE Elevator HLI,"GIGAWORKZ TECHNOLOGIES, INC.",Commercial,Commercial - Office Buildings,Security Installer,Closed Won,"NZD 20,517.63",True,True,16/04/2024,Asia Pacific,
006A9000002npmP,SBA Diggora,Ortech Security Services,,Uncategorized,,Closed Lost,"NZD 7,984.61",False,True,30/04/2024,Australia,
006A9000002oFMo,Westlake Lakeshore towers,Securitas Technology Canada - Corporate HQ,,Uncategorized,Monitoring Service,Closed Lost,"NZD 100,631.05",False,True,1/02/2024,Canada,Unresponsive Contacts
006A9000002omXn,ANZ ATM's,ARA Security NZ,Banking & Finance,Banking & Finance,Construction,Closed Lost,"NZD 306,412.20",False,True,30/06/2025,New Zealand,No Decision
006A9000002pFwO,Tender for MAIN WORKS CONTRACT OF BATCH 1A DEVELOPMENT OF HONG KONG-SHENZHEN INNOVATION AND TECHNOLOGY PARK,Secureplus Limited,,Uncategorized,Supplier,Closed Lost,"NZD 210,553.98",False,True,12/02/2024,Asia Pacific,Competition
006A9000002qe3m,Peace of Mind Systems - WX System - Church,Peace of Mind Systems Ltd.,Religious,Religious Facilities,Security Installer,Closed Lost,"NZD 4,190.68",False,True,31/08/2024,Canada,Other (Add detail to Other Closed Lost Reason)
006A9000002rKuD,Frontier Power,Gunnebo Canada Inc.,,Uncategorized,Security Installer,Closed Lost,"NZD 12,358.15",False,True,15/01/2024,Canada,
006A9000002rlbL,Tender for Finnie Street Hotel Project,Secureplus Limited,Residential,Hospitality - Hotels & Resorts,Supplier,Closed Lost,"NZD 28,591.58",False,True,16/12/2024,Asia Pacific,Other (Add detail to Other Closed Lost Reason)
006A9000002tFFH,Lockwise MP card quote 28_10_22,Arotech Security,,Uncategorized,,Closed Won,"NZD 5,981.53",True,True,30/04/2024,Australia,
006A9000002tFXj,ACS Upgrade Project for YiShun Polyclinic in SIngapore,Ademco (Far East) Pte Ltd (Singapore),Education,Healthcare - Hospitals & Clinics,Security Systems,Closed Lost,"NZD 26,149.30",False,True,23/09/2024,Asia Pacific,Pricing
006A9000002toUR,JFSecuritas10312022,Securitas Technology Canada - Corporate HQ,,Uncategorized,Monitoring Service,Closed Lost,"NZD 36,049.76",False,True,31/01/2024,Canada,
006A9000002trOB,Deneuve Alta Verde,Wire To Wire Inc.,Multi Family,Residential - Multi-Family,Security Installer,Procurement,NZD 0.00,False,False,1/11/2024,United States,
006A9000002uAI5,The John Cooper School,Fortress Security LLC (OMNI Fire & Security),Education,Education - K-12,Security Installer,Closed Lost,"NZD 109,964.46",False,True,11/06/2024,United States,
006A9000002ub1j,ASG - Formation Fyshwick,Australian Smart Group,Government,Government,Security Installer,Closed Lost,"NZD 140,282.94",False,True,29/11/2024,Australia,Other (Add detail to Other Closed Lost Reason)
006A9000002uj3y,Waldorf Fire Hall Access Control,"GL Kreiner, Inc dba DW Security",,Uncategorized,Security Installer,Closed Lost,"NZD 36,659.01",False,True,22/03/2024,United States,Other (Add detail to Other Closed Lost Reason)
006A9000002ukS9,Project MC3 04/11/22,Commrity Pty Ltd,,Uncategorized,,Closed Lost,"NZD 10,289.39",False,True,30/04/2024,Australia,Other (Add detail to Other Closed Lost Reason)
006A9000002ukUV,Project MC4 04/11/22,Commrity Pty Ltd,,Uncategorized,,Closed Lost,"NZD 8,955.81",False,True,30/04/2024,Australia,Other (Add detail to Other Closed Lost Reason)
006A9000002vhgR,Nelson Bays Security,Nelson Bays Security Ltd,Commercial,Commercial - General,Security Installer,Closed Lost,"NZD 4,737.89",False,True,24/06/2025,New Zealand,Unresponsive Contacts
